日付,始値,高値,安値,終値,出来高,調整後終値
2021/7/2,1641,1679,1641,1668,691300,1668
2021/7/1,1657,1671,1632,1640,631300,1640
2021/6/30,1668,1678,1656,1660,698100,1660
2021/6/29,1658,1670,1641,1645,734800,1645
2021/6/28,1698,1698,1661,1671,652200,1671
2021/6/25,1700,1705,1681,1686,566800,1686
2021/6/24,1661,1682,1654,1672,380200,1672
2021/6/23,1679,1689,1659,1660,738000,1660
2021/6/22,1693,1695,1655,1687,826700,1687
2021/6/21,1675,1677,1631,1640,957400,1640
2021/6/18,1740,1743,1706,1715,1485800,1715
2021/6/17,1723,1723,1697,1702,505200,1702
2021/6/16,1720,1730,1707,1719,543200,1719
2021/6/15,1701,1736,1700,1732,733600,1732
2021/6/14,1698,1707,1686,1705,450100,1705
2021/6/11,1723,1724,1692,1704,854700,1704
2021/6/10,1671,1720,1649,1711,1173100,1711
2021/6/9,1732,1734,1711,1711,597500,1711
2021/6/8,1742,1754,1732,1746,586800,1746
2021/6/7,1752,1760,1730,1746,490000,1746
2021/6/4,1759,1759,1727,1739,639600,1739
2021/6/3,1743,1771,1736,1738,590500,1738
2021/6/2,1739,1770,1728,1749,732300,1749
2021/6/1,1756,1760,1712,1738,558100,1738
2021/5/31,1777,1777,1717,1733,629700,1733
2021/5/28,1795,1804,1774,1788,964700,1788
2021/5/27,1714,1741,1701,1715,1902700,1715
2021/5/26,1716,1741,1706,1724,688300,1724
2021/5/25,1730,1738,1722,1734,610300,1734
2021/5/24,1713,1763,1713,1726,626800,1726
2021/5/21,1714,1739,1711,1723,637100,1723
2021/5/20,1706,1737,1705,1732,769600,1732
2021/5/19,1726,1764,1719,1726,728100,1726
2021/5/18,1755,1781,1752,1761,1256100,1761
2021/5/17,1833,1840,1770,1780,690400,1780
2021/5/14,1813,1838,1797,1822,996900,1822
2021/5/13,1813,1839,1778,1786,1044300,1786
2021/5/12,1867,1874,1791,1827,1530900,1827
2021/5/11,2050,2056,2007,2018,1025500,2018
2021/5/10,2031,2072,2027,2066,780800,2066
2021/5/7,1998,2015,1992,2010,752700,2010
2021/5/6,2012,2027,1997,1999,1110100,1999
2021/4/30,1988,2000,1977,1984,640800,1984
2021/4/28,1992,1999,1981,1992,525800,1992
2021/4/27,2017,2021,1995,2002,382900,2002
2021/4/26,1998,2022,1991,2014,474800,2014
2021/4/23,1989,2002,1967,1991,400600,1991
2021/4/22,1986,2012,1973,2008,539300,2008
2021/4/21,1988,1997,1960,1961,640400,1961
2021/4/20,2069,2069,2018,2028,536400,2028
2021/4/19,2064,2092,2058,2086,385400,2086
2021/4/16,2080,2087,2059,2066,550600,2066
2021/4/15,2100,2107,2076,2079,329100,2079
2021/4/14,2066,2092,2058,2074,446200,2074
2021/4/13,2063,2094,2055,2080,480500,2080
2021/4/12,2103,2119,2075,2084,442000,2084
2021/4/9,2124,2149,2093,2096,1037700,2096
2021/4/8,2070,2081,2047,2074,514600,2074
2021/4/7,2076,2091,2062,2080,573200,2080
2021/4/6,2106,2109,2042,2056,794900,2056
2021/4/5,2130,2138,2108,2117,471900,2117
2021/4/2,2107,2118,2089,2113,520000,2113
2021/4/1,2062,2096,2048,2071,696700,2071
2021/3/31,2050,2062,2036,2038,780000,2038
2021/3/30,2087,2102,2063,2080,607700,2080
2021/3/29,2110,2124,2090,2108,856100,2108
2021/3/26,2066,2099,2061,2086,835300,2086
2021/3/25,2034,2073,2032,2061,658600,2061
2021/3/24,2037,2054,2018,2026,590000,2026
2021/3/23,2120,2121,2065,2065,646600,2065
2021/3/22,2141,2150,2101,2112,857900,2112
2021/3/19,2152,2185,2147,2185,1810300,2185
2021/3/18,2194,2198,2144,2177,916600,2177
2021/3/17,2159,2188,2145,2167,699300,2167
2021/3/16,2177,2195,2153,2184,873100,2184
2021/3/15,2150,2170,2135,2154,875000,2154
2021/3/12,2111,2157,2089,2138,1623100,2138
2021/3/11,2102,2119,2080,2081,794100,2081
2021/3/10,2112,2118,2067,2097,769200,2097
2021/3/9,2124,2129,2069,2105,852900,2105
2021/3/8,2136,2160,2084,2094,1018500,2094
2021/3/5,2010,2105,2009,2101,1586300,2101
2021/3/4,2017,2050,1991,2025,999900,2025
2021/3/3,2023,2040,2011,2038,1224600,2038
2021/3/2,2054,2075,2021,2035,904100,2035
2021/3/1,2050,2060,2023,2056,895500,2056
2021/2/26,2068,2068,2015,2016,1321900,2016
2021/2/25,2121,2148,2096,2109,1921100,2109
2021/2/24,2140,2142,2088,2094,995000,2094
2021/2/22,2168,2178,2134,2143,767000,2143
2021/2/19,2188,2193,2146,2160,750900,2160
2021/2/18,2282,2283,2191,2197,777600,2197
2021/2/17,2209,2296,2209,2285,914800,2285
2021/2/16,2183,2235,2152,2221,1073600,2221
2021/2/15,2185,2226,2177,2206,639500,2206
2021/2/12,2300,2305,2171,2196,1600300,2196
2021/2/10,2358,2358,2260,2296,1298400,2296
2021/2/9,2411,2435,2381,2431,1034000,2431
2021/2/8,2332,2395,2312,2391,1103700,2391
2021/2/5,2305,2351,2300,2345,963700,2345
2021/2/4,2311,2341,2290,2290,665800,2290
2021/2/3,2327,2344,2288,2303,1071300,2303
2021/2/2,2324,2360,2308,2327,914000,2327
2021/2/1,2255,2331,2251,2324,694100,2324
2021/1/29,2311,2318,2252,2255,811400,2255
2021/1/28,2270,2338,2270,2319,2608500,2319
2021/1/27,2314,2358,2287,2312,860200,2312
2021/1/26,2317,2317,2272,2283,459000,2283
2021/1/25,2271,2319,2252,2318,714800,2318
2021/1/22,2265,2286,2231,2261,697400,2261
2021/1/21,2340,2347,2280,2292,815700,2292
2021/1/20,2322,2337,2305,2322,597500,2322
2021/1/19,2276,2338,2272,2317,665300,2317
2021/1/18,2279,2288,2247,2264,563500,2264
2021/1/15,2311,2325,2281,2298,930600,2298
2021/1/14,2274,2347,2263,2308,1129800,2308
2021/1/13,2251,2292,2241,2287,1038800,2287
2021/1/12,2284,2295,2260,2269,1066900,2269
2021/1/8,2201,2275,2131,2271,1397600,2271
2021/1/7,2154,2179,2144,2169,957600,2169
2021/1/6,2054,2126,2031,2106,1253500,2106
2021/1/5,1984,2099,1976,2089,1143900,2089
2021/1/4,2067,2070,1976,1997,519000,1997
2020/12/30,2144,2144,2051,2054,815800,2054
2020/12/29,2050,2126,2047,2120,820900,2120
2020/12/28,1998,2028,1998,2017,540300,2017
2020/12/25,1976,2001,1973,1989,311800,1989
2020/12/24,1946,1979,1942,1978,553300,1978
2020/12/23,1971,1971,1931,1938,659500,1938
2020/12/22,1957,1969,1932,1941,698400,1941
2020/12/21,1957,1960,1922,1948,697600,1948
2020/12/18,1916,1957,1911,1956,1253100,1956
2020/12/17,1897,1902,1881,1893,616700,1893
2020/12/16,1928,1929,1881,1903,914600,1903
2020/12/15,1930,1937,1911,1936,609800,1936
2020/12/14,1948,1967,1927,1936,626300,1936
2020/12/11,1928,1946,1907,1937,824000,1937
2020/12/10,1940,1976,1920,1933,796300,1933
2020/12/9,1978,1989,1955,1966,663600,1966
2020/12/8,1964,1979,1953,1970,426100,1970
2020/12/7,2015,2025,1962,1967,593200,1967
2020/12/4,1962,1994,1962,1988,591600,1988
2020/12/3,2010,2012,1958,1959,694000,1959
2020/12/2,2000,2014,1973,2004,996300,2004
2020/12/1,1864,1959,1860,1953,1226200,1953
2020/11/30,1892,1894,1836,1844,1179600,1844
2020/11/27,1900,1900,1870,1881,802400,1881
2020/11/26,1862,1899,1850,1899,502600,1899
2020/11/25,1895,1923,1875,1878,666300,1878
2020/11/24,1868,1870,1838,1846,830100,1846
2020/11/20,1830,1838,1814,1833,502400,1833
2020/11/19,1843,1859,1832,1849,699200,1849
2020/11/18,1898,1898,1855,1875,694200,1875
2020/11/17,1892,1902,1854,1895,853000,1895
2020/11/16,1856,1877,1844,1867,677700,1867
2020/11/13,1821,1831,1780,1816,1273000,1816
2020/11/12,1828,1836,1805,1832,1093200,1832
2020/11/11,1817,1838,1802,1821,1000000,1821
2020/11/10,1795,1814,1768,1781,1017800,1781
2020/11/9,1700,1730,1686,1719,694300,1719
2020/11/6,1646,1683,1627,1676,759300,1676
2020/11/5,1635,1671,1595,1666,1468100,1666
2020/11/4,1641,1657,1622,1650,1080100,1650
2020/11/2,1531,1578,1530,1563,697600,1563
2020/10/30,1606,1606,1520,1526,641000,1526
2020/10/29,1533,1591,1529,1588,869000,1588
2020/10/28,1611,1612,1563,1573,628900,1573
2020/10/27,1619,1634,1600,1634,469600,1634
2020/10/26,1666,1680,1642,1650,390000,1650
2020/10/23,1639,1666,1620,1659,608800,1659
2020/10/22,1625,1641,1620,1633,559100,1633
2020/10/21,1632,1668,1631,1660,471800,1660
2020/10/20,1652,1658,1637,1644,590200,1644
2020/10/19,1666,1690,1655,1682,546000,1682
2020/10/16,1677,1679,1646,1647,548600,1647
2020/10/15,1692,1695,1672,1686,486800,1686
2020/10/14,1703,1711,1681,1698,574100,1698
2020/10/13,1728,1732,1699,1717,374300,1717
2020/10/12,1734,1739,1713,1719,445900,1719
2020/10/9,1719,1735,1699,1720,856500,1720
2020/10/8,1717,1726,1707,1710,528600,1710
2020/10/7,1696,1711,1686,1703,604700,1703
2020/10/6,1668,1711,1668,1702,993600,1702
2020/10/5,1660,1693,1646,1680,664300,1680
2020/10/2,1645,1668,1629,1634,1110200,1634
2020/9/30,1711,1719,1665,1665,1118300,1665
2020/9/29,1714,1732,1698,1722,861100,1722
2020/9/28,1691,1724,1684,1722,895400,1722
2020/9/25,1683,1687,1662,1669,698700,1669
2020/9/24,1659,1681,1647,1657,961200,1657
2020/9/23,1690,1690,1661,1677,880000,1677
2020/9/18,1724,1729,1696,1704,1201400,1704
2020/9/17,1741,1759,1728,1735,566400,1735
2020/9/16,1745,1767,1731,1735,535100,1735
2020/9/15,1761,1762,1726,1759,1190900,1759
2020/9/14,1795,1816,1791,1801,479000,1801
2020/9/11,1808,1808,1708,1780,1272000,1780
2020/9/10,1758,1795,1756,1788,792600,1788
2020/9/9,1714,1742,1704,1742,807700,1742
2020/9/8,1764,1778,1758,1766,474600,1766
2020/9/7,1729,1760,1725,1755,338600,1755
2020/9/4,1726,1728,1711,1728,327800,1728
2020/9/3,1767,1778,1750,1757,391000,1757
2020/9/2,1735,1739,1719,1735,550900,1735
2020/9/1,1727,1727,1700,1720,649800,1720
2020/8/31,1731,1768,1731,1733,783700,1733
2020/8/28,1710,1754,1680,1696,980600,1696
2020/8/27,1766,1766,1723,1731,602500,1731
2020/8/26,1737,1751,1723,1738,499700,1738
2020/8/25,1727,1768,1725,1756,954000,1756
2020/8/24,1671,1692,1652,1687,653000,1687
2020/8/21,1652,1685,1652,1678,665500,1678
2020/8/20,1643,1663,1643,1662,646600,1662
2020/8/19,1644,1658,1632,1656,678600,1656
2020/8/18,1695,1695,1643,1675,773900,1675
2020/8/17,1719,1728,1690,1706,807500,1706
2020/8/14,1734,1734,1698,1722,1049700,1722
2020/8/13,1765,1800,1725,1725,2027400,1725
2020/8/12,1840,1866,1821,1845,719100,1845
2020/8/11,1779,1847,1779,1840,873200,1840
2020/8/7,1751,1761,1735,1749,475900,1749
2020/8/6,1722,1758,1712,1736,383500,1736
2020/8/5,1701,1738,1693,1730,699700,1730
2020/8/4,1690,1738,1683,1737,663300,1737
2020/8/3,1626,1688,1626,1679,749900,1679
2020/7/31,1631,1645,1603,1603,596100,1603
2020/7/30,1661,1670,1643,1647,410300,1647
2020/7/29,1672,1685,1648,1658,515600,1658
2020/7/28,1695,1696,1678,1686,539100,1686
2020/7/27,1671,1694,1638,1692,517400,1692
2020/7/22,1715,1715,1689,1700,627200,1700
2020/7/21,1699,1723,1687,1716,526700,1716
2020/7/20,1705,1705,1666,1700,415000,1700
2020/7/17,1707,1714,1679,1699,523000,1699
2020/7/16,1735,1753,1697,1712,674800,1712
2020/7/15,1700,1724,1686,1713,787100,1713
2020/7/14,1642,1675,1634,1673,670900,1673
2020/7/13,1627,1673,1618,1657,511700,1657
2020/7/10,1653,1653,1592,1598,1030900,1598
2020/7/9,1655,1662,1636,1645,430900,1645
2020/7/8,1650,1673,1634,1652,853000,1652
2020/7/7,1696,1696,1662,1678,751400,1678
2020/7/6,1658,1714,1655,1711,564200,1711
2020/7/3,1646,1659,1623,1659,374100,1659
2020/7/2,1643,1661,1621,1642,713600,1642
2020/7/1,1693,1703,1644,1654,674600,1654
2020/6/30,1661,1692,1660,1680,1045900,1680
2020/6/29,1630,1640,1597,1601,684500,1601
2020/6/26,1694,1694,1642,1666,693300,1666
2020/6/25,1678,1679,1643,1656,705800,1656
2020/6/24,1697,1710,1680,1697,815100,1697
2020/6/23,1684,1709,1659,1692,895100,1692
2020/6/22,1660,1676,1636,1670,600500,1670
2020/6/19,1667,1681,1622,1672,2254700,1672
2020/6/18,1627,1642,1609,1627,459300,1627
2020/6/17,1682,1682,1628,1641,857300,1641
2020/6/16,1642,1697,1628,1691,1085200,1691
2020/6/15,1620,1663,1557,1562,1289100,1562
2020/6/12,1578,1625,1543,1619,1539300,1619
2020/6/11,1675,1682,1628,1630,874200,1630
2020/6/10,1700,1716,1680,1711,676600,1711
2020/6/9,1723,1736,1698,1715,1013300,1715
2020/6/8,1735,1748,1711,1723,806200,1723
2020/6/5,1675,1701,1658,1700,747200,1700
2020/6/4,1692,1700,1639,1658,820800,1658
2020/6/3,1649,1669,1642,1657,1059800,1657
2020/6/2,1587,1611,1560,1602,491900,1602
2020/6/1,1561,1571,1531,1555,787500,1555
2020/5/29,1520,1562,1511,1552,1571700,1552
2020/5/28,1557,1583,1524,1560,1210200,1560
2020/5/27,1513,1545,1492,1538,1041700,1538
2020/5/26,1490,1528,1478,1525,868100,1525
2020/5/25,1439,1485,1434,1477,627800,1477
2020/5/22,1442,1445,1404,1409,452900,1409
2020/5/21,1464,1468,1445,1449,577800,1449
2020/5/20,1451,1466,1433,1453,803000,1453
2020/5/19,1480,1485,1442,1443,917400,1443
2020/5/18,1402,1433,1397,1426,796700,1426
2020/5/15,1434,1448,1381,1413,992100,1413
2020/5/14,1435,1445,1393,1396,1061500,1396
2020/5/13,1402,1466,1400,1458,1681100,1458
2020/5/12,1524,1532,1482,1502,547800,1502
2020/5/11,1514,1535,1505,1507,848100,1507
2020/5/8,1468,1499,1450,1497,1151800,1497
